Traffic_ID,PER,PDB,Normalized Bandwidth,Channel
0,0.0003807947176588889,5.0,0.7836870216746338,2
1,0.0001644345751328406,5.0,0.9180140037433251,2
2,3.0378649352844424e-05,5.0,0.5309034840789696,3
3,0.00019157046475489948,5.0,0.115190760116628,1
4,0.00043762556845569465,5.0,0.2318099396065753,3
5,0.0001480989220455214,5.0,0.26522372424012586,3
6,0.0004615092843748656,5.0,0.8671878040792163,2
7,0.0005190920940294755,5.0,0.7214010812890098,2
8,0.000611469403382424,5.0,0.971922111526234,2
9,0.00010669539286632004,5.0,1.2429040238181042,2
10,0.00013081785249633105,5.0,0.686526381616028,3
11,0.0009102271980579943,5.0,0.3225623749220731,3
12,0.0003185939653285169,5.0,1.045654308655448,2
13,0.00019300591097027176,5.0,0.7395034183787056,2
14,9.76075770314003e-05,5.0,0.21401531194109816,3
15,0.000278635541456157,5.0,1.0047699096507814,2
16,0.000288125164590507,5.0,0.7284407697715819,2
17,0.0008041750109464993,5.0,0.8713673078076545,2
18,1.5466895952366375e-05,5.0,0.9540456819592762,2
19,0.0007317170963605775,5.0,0.5955786349983981,3
20,0.0008644723916168376,5.0,1.0175052648505853,2
21,7.29227667831634e-05,5.0,0.32994069646384033,3
22,0.0007323101165546835,5.0,0.7769963760872491,2
23,0.00047749277591032984,5.0,0.4949807519694512,3
24,0.0007631771981307285,5.0,0.7894607363359285,2
25,0.0004988576404007469,5.0,0.9343260683993256,2
26,3.516493547665424e-05,5.0,1.0003883200406885,2
27,0.0005134849842530557,5.0,0.7951303071371513,2
28,0.0004162790938052735,5.0,0.9109092822203767,2
29,8.621011073050506e-05,5.0,0.5379151623044129,3
30,0.0009304006758191473,5.0,1.0350367868315937,2
31,0.0008727459842858405,5.0,0.8418957237233361,2
32,0.000893633408505078,5.0,0.7407567502529742,2
33,0.0008971303869242584,5.0,0.590053278912569,3
34,0.00023565581091652225,5.0,0.6007475889931566,3
35,0.00086212327742378,5.0,0.6179274784250083,3
36,0.00042323689311729123,5.0,0.601590871936909,3
37,0.0003442390196895917,5.0,0.8091874325030365,2
38,0.0005236027155259324,5.0,1.1086408607387792,2
39,0.0009720642618937511,5.0,0.6802414690849736,3
40,0.00029199208943369296,5.0,0.5586236046240373,3
41,0.0005076522329965729,5.0,0.7784895758555868,2
42,0.00015344592337031087,5.0,0.6859716566365671,3
43,0.0002496347187963854,5.0,0.9133715399378695,2
44,0.00024526116855247567,5.0,1.1026683049314483,2
45,0.0006359827722876437,5.0,1.3441817474847646,2
46,9.938687235386422e-05,5.0,0.9646515472028345,2
47,0.0001946533252958557,5.0,0.537400471076498,3
48,0.0006807887182238596,5.0,0.5787097914818295,3
49,0.00023423081744595856,5.0,0.8300138136763507,2
50,0.0006940283607214413,5.0,0.6399841823241532,3
51,0.00014614573470453333,5.0,0.5917305613919305,3
52,0.0009254466820957771,5.0,0.8547297926141555,2
53,0.0006633842055738373,5.0,1.07964631138471,2
54,0.0005343540725724464,5.0,0.6265286978687726,3
55,0.0008982436003737935,5.0,0.9223229793130274,2
56,0.0003456394931382137,5.0,0.4284880597139236,3
57,0.0008981391573530513,5.0,0.7919365331673143,2
58,0.0006456113296927449,5.0,0.9419625133207953,2
59,1.910508110046335e-05,5.0,0.47424718307737873,3
60,1.50109680077565e-05,5.0,0.3237569321037268,3
61,0.0006949762457157663,5.0,0.8848072131289735,2
62,0.0007150574291340605,5.0,0.3496401297177535,3
63,0.000749026491066844,5.0,0.8118019227718162,2
64,0.0006610367633773399,5.0,0.7318647271818339,2
65,0.0003740386450288392,5.0,0.4438621785369945,3
66,0.0009732804492049212,5.0,0.616427864727451,3
67,0.0006348272397372903,5.0,1.1234877334744873,2
68,0.0005811348457800956,5.0,0.6778408949542051,3
69,0.0007252275941088903,5.0,0.8326732004877054,2
70,0.0009410539985093852,5.0,0.9098998916915882,2
71,0.0009669882708532329,5.0,0.23451388569575038,3
72,0.0008526253048016883,5.0,0.5345584970053945,3
73,0.0005612332498337667,5.0,0.8035771117545497,2
74,0.0005743605583884713,5.0,0.44592062942736355,3
75,0.0009901533116032206,5.0,0.34588396553062906,3
76,0.0008785993412086759,5.0,1.0074880945495306,2
77,0.0007054592431472382,5.0,0.4073210757729905,3
78,0.0008112675439237285,5.0,0.7652106321285165,2
79,0.0009141081470309066,5.0,1.842001812152058,2
80,0.0008003122271771074,5.0,0.9841297931228351,2
81,0.00079783474274174,5.0,0.9154787446100415,2
82,0.0003818271231135446,5.0,0.43184740961141044,3
83,4.558285105877467e-05,5.0,0.1289713946548846,1
84,0.00029367583960700157,5.0,0.7121998633428206,2
85,4.697470686172227e-05,5.0,1.0143019024561564,2
86,0.00013578990752536593,5.0,0.7266804555322384,2
87,0.00022366281722187474,5.0,0.7530071097420358,2
88,6.116490395692162e-05,5.0,1.240249296458056,2
89,0.0006410556024832245,5.0,0.7440213990405977,2
90,0.0007972343328210167,5.0,0.18830841690991376,1
91,8.76718175288433e-05,5.0,0.947459116487929,2
92,0.00041486341497012723,5.0,0.5929927569849309,3
93,0.0002577404691829494,5.0,0.8094662056484361,2
94,0.000663595402950554,5.0,1.1827301424354373,2
95,0.0006156035387720087,5.0,0.5431629593762636,3
96,0.000362412951864749,5.0,1.2488120343498723,2
97,0.00010685581904449146,5.0,0.38139721996324255,3
98,0.00018146985121091503,5.0,0.2987987984061745,3
99,0.0006196915970716943,5.0,0.7273361923409255,2
100,0.00038086648848020653,5.0,1.3913623768416796,2
101,0.0008579249427764391,5.0,0.8265730893507539,2
102,7.986305992642555e-05,5.0,0.7064192492020285,2
103,0.0005899178254607287,5.0,0.8864774384864758,2
104,0.00039428822694445673,5.0,1.32048142358417,2
105,0.0005501606214227756,5.0,0.8643717060936972,2
106,0.0009615786581856751,5.0,0.7503536096228918,2
107,0.0003257858739908237,5.0,0.9426215705441987,2
108,0.0001269831793454397,5.0,1.1231930951579976,2
109,0.0008786972933917824,5.0,0.8767437566424146,2
110,0.00028921422684559346,5.0,0.475512029198298,3
111,0.0008087663918745914,5.0,0.7233191953824795,2
112,0.0003782979049348554,5.0,1.0361600397405188,2
113,0.0009314497523475291,5.0,1.017244679291735,2
114,0.0007533623571135825,5.0,0.7665330100180876,2
115,0.000903527377612771,5.0,0.6944721232687185,3
116,0.00032684910502030564,5.0,0.9439310854409707,2
117,2.0729274965495378e-05,5.0,0.6492064973082352,3
118,0.0009511010754681805,5.0,1.007197160257408,2
119,0.0004539610667585366,5.0,0.324555432218407,3
120,0.0006757932715162681,5.0,0.8879525109516634,2
121,0.0007917219613666084,5.0,0.41947122076890037,3
122,6.698317241647784e-05,5.0,1.218392500556829,2
123,0.0008888271409307168,5.0,0.591932913093368,3
124,0.0001515617652323075,5.0,1.0948413892958657,2
125,0.00011011144936156234,5.0,0.5363620142885055,3
126,8.203537630055159e-05,5.0,0.9494915136335886,2
127,9.053529283548077e-05,5.0,0.26667319048248633,3
